index	image_path	question	answer	type	A	B	C	D	E	F	G	H
32	data/raven/images/fused/32.jpg	holder	A	1	A	B	C	D	E	F	G	H
33	data/raven/images/fused/33.jpg	holder	H	1	A	B	C	D	E	F	G	H
34	data/raven/images/fused/34.jpg	holder	G	1	A	B	C	D	E	F	G	H
35	data/raven/images/fused/35.jpg	holder	A	1	A	B	C	D	E	F	G	H
36	data/raven/images/fused/36.jpg	holder	D	1	A	B	C	D	E	F	G	H
37	data/raven/images/fused/37.jpg	holder	B	1	A	B	C	D	E	F	G	H
38	data/raven/images/fused/38.jpg	holder	C	1	A	B	C	D	E	F	G	H
39	data/raven/images/fused/39.jpg	holder	G	1	A	B	C	D	E	F	G	H
40	data/raven/images/fused/40.jpg	holder	D	2	A	B	C	D	E	F	G	H
41	data/raven/images/fused/41.jpg	holder	D	2	A	B	C	D	E	F	G	H
42	data/raven/images/fused/42.jpg	holder	A	2	A	B	C	D	E	F	G	H
43	data/raven/images/fused/43.jpg	holder	D	2	A	B	C	D	E	F	G	H
44	data/raven/images/fused/44.jpg	holder	C	2	A	B	C	D	E	F	G	H
45	data/raven/images/fused/45.jpg	holder	H	2	A	B	C	D	E	F	G	H
46	data/raven/images/fused/46.jpg	holder	A	2	A	B	C	D	E	F	G	H
47	data/raven/images/fused/47.jpg	holder	G	2	A	B	C	D	E	F	G	H
48	data/raven/images/fused/48.jpg	holder	D	2	A	B	C	D	E	F	G	H
49	data/raven/images/fused/49.jpg	holder	E	2	A	B	C	D	E	F	G	H
50	data/raven/images/fused/50.jpg	holder	D	2	A	B	C	D	E	F	G	H
51	data/raven/images/fused/51.jpg	holder	A	2	A	B	C	D	E	F	G	H
52	data/raven/images/fused/52.jpg	holder	E	2	A	B	C	D	E	F	G	H
53	data/raven/images/fused/53.jpg	holder	E	2	A	B	C	D	E	F	G	H
54	data/raven/images/fused/54.jpg	holder	B	2	A	B	C	D	E	F	G	H
55	data/raven/images/fused/55.jpg	holder	F	2	A	B	C	D	E	F	G	H
56	data/raven/images/fused/56.jpg	holder	A	2	A	B	C	D	E	F	G	H
57	data/raven/images/fused/57.jpg	holder	A	2	A	B	C	D	E	F	G	H
58	data/raven/images/fused/58.jpg	holder	F	2	A	B	C	D	E	F	G	H
59	data/raven/images/fused/59.jpg	holder	D	2	A	B	C	D	E	F	G	H
60	data/raven/images/fused/60.jpg	holder	E	3	A	B	C	D	E	F	G	H
61	data/raven/images/fused/61.jpg	holder	A	3	A	B	C	D	E	F	G	H
62	data/raven/images/fused/62.jpg	holder	E	3	A	B	C	D	E	F	G	H
63	data/raven/images/fused/63.jpg	holder	A	3	A	B	C	D	E	F	G	H
64	data/raven/images/fused/64.jpg	holder	F	3	A	B	C	D	E	F	G	H
65	data/raven/images/fused/65.jpg	holder	H	3	A	B	C	D	E	F	G	H
66	data/raven/images/fused/66.jpg	holder	A	3	A	B	C	D	E	F	G	H
67	data/raven/images/fused/67.jpg	holder	H	3	A	B	C	D	E	F	G	H
68	data/raven/images/fused/68.jpg	holder	A	3	A	B	C	D	E	F	G	H
69	data/raven/images/fused/69.jpg	holder	A	3	A	B	C	D	E	F	G	H
70	data/raven/images/fused/70.jpg	holder	C	3	A	B	C	D	E	F	G	H
71	data/raven/images/fused/71.jpg	holder	D	3	A	B	C	D	E	F	G	H
72	data/raven/images/fused/72.jpg	holder	E	3	A	B	C	D	E	F	G	H
73	data/raven/images/fused/73.jpg	holder	B	3	A	B	C	D	E	F	G	H
74	data/raven/images/fused/74.jpg	holder	B	3	A	B	C	D	E	F	G	H
75	data/raven/images/fused/75.jpg	holder	F	3	A	B	C	D	E	F	G	H
76	data/raven/images/fused/76.jpg	holder	B	3	A	B	C	D	E	F	G	H
77	data/raven/images/fused/77.jpg	holder	A	3	A	B	C	D	E	F	G	H
78	data/raven/images/fused/78.jpg	holder	D	3	A	B	C	D	E	F	G	H
79	data/raven/images/fused/79.jpg	holder	F	3	A	B	C	D	E	F	G	H
80	data/raven/images/fused/80.jpg	holder	C	4	A	B	C	D	E	F	G	H
81	data/raven/images/fused/81.jpg	holder	F	4	A	B	C	D	E	F	G	H
82	data/raven/images/fused/82.jpg	holder	H	4	A	B	C	D	E	F	G	H
83	data/raven/images/fused/83.jpg	holder	B	4	A	B	C	D	E	F	G	H
84	data/raven/images/fused/84.jpg	holder	D	4	A	B	C	D	E	F	G	H
85	data/raven/images/fused/85.jpg	holder	B	4	A	B	C	D	E	F	G	H
86	data/raven/images/fused/86.jpg	holder	H	4	A	B	C	D	E	F	G	H
87	data/raven/images/fused/87.jpg	holder	B	4	A	B	C	D	E	F	G	H
88	data/raven/images/fused/88.jpg	holder	E	4	A	B	C	D	E	F	G	H
89	data/raven/images/fused/89.jpg	holder	F	4	A	B	C	D	E	F	G	H
90	data/raven/images/fused/90.jpg	holder	G	4	A	B	C	D	E	F	G	H
91	data/raven/images/fused/91.jpg	holder	H	4	A	B	C	D	E	F	G	H
92	data/raven/images/fused/92.jpg	holder	D	4	A	B	C	D	E	F	G	H
93	data/raven/images/fused/93.jpg	holder	E	4	A	B	C	D	E	F	G	H
94	data/raven/images/fused/94.jpg	holder	H	4	A	B	C	D	E	F	G	H
95	data/raven/images/fused/95.jpg	holder	G	4	A	B	C	D	E	F	G	H
96	data/raven/images/fused/96.jpg	holder	C	4	A	B	C	D	E	F	G	H
97	data/raven/images/fused/97.jpg	holder	E	4	A	B	C	D	E	F	G	H
98	data/raven/images/fused/98.jpg	holder	F	4	A	B	C	D	E	F	G	H
99	data/raven/images/fused/99.jpg	holder	D	4	A	B	C	D	E	F	G	H
100	data/raven/images/fused/100.jpg	holder	G	5	A	B	C	D	E	F	G	H
101	data/raven/images/fused/101.jpg	holder	B	5	A	B	C	D	E	F	G	H
102	data/raven/images/fused/102.jpg	holder	C	5	A	B	C	D	E	F	G	H
103	data/raven/images/fused/103.jpg	holder	E	5	A	B	C	D	E	F	G	H
104	data/raven/images/fused/104.jpg	holder	B	5	A	B	C	D	E	F	G	H
105	data/raven/images/fused/105.jpg	holder	F	5	A	B	C	D	E	F	G	H
106	data/raven/images/fused/106.jpg	holder	E	5	A	B	C	D	E	F	G	H
107	data/raven/images/fused/107.jpg	holder	D	5	A	B	C	D	E	F	G	H
108	data/raven/images/fused/108.jpg	holder	G	5	A	B	C	D	E	F	G	H
109	data/raven/images/fused/109.jpg	holder	E	5	A	B	C	D	E	F	G	H
110	data/raven/images/fused/110.jpg	holder	C	5	A	B	C	D	E	F	G	H
111	data/raven/images/fused/111.jpg	holder	A	5	A	B	C	D	E	F	G	H
112	data/raven/images/fused/112.jpg	holder	B	5	A	B	C	D	E	F	G	H
113	data/raven/images/fused/113.jpg	holder	C	5	A	B	C	D	E	F	G	H
114	data/raven/images/fused/114.jpg	holder	G	5	A	B	C	D	E	F	G	H
115	data/raven/images/fused/115.jpg	holder	H	5	A	B	C	D	E	F	G	H
116	data/raven/images/fused/116.jpg	holder	A	5	A	B	C	D	E	F	G	H
117	data/raven/images/fused/117.jpg	holder	D	5	A	B	C	D	E	F	G	H
118	data/raven/images/fused/118.jpg	holder	E	5	A	B	C	D	E	F	G	H
119	data/raven/images/fused/119.jpg	holder	A	5	A	B	C	D	E	F	G	H
120	data/raven/images/fused/120.jpg	holder	A	6	A	B	C	D	E	F	G	H
121	data/raven/images/fused/121.jpg	holder	D	6	A	B	C	D	E	F	G	H
122	data/raven/images/fused/122.jpg	holder	A	6	A	B	C	D	E	F	G	H
123	data/raven/images/fused/123.jpg	holder	B	6	A	B	C	D	E	F	G	H
124	data/raven/images/fused/124.jpg	holder	A	6	A	B	C	D	E	F	G	H
125	data/raven/images/fused/125.jpg	holder	D	6	A	B	C	D	E	F	G	H
126	data/raven/images/fused/126.jpg	holder	E	6	A	B	C	D	E	F	G	H
127	data/raven/images/fused/127.jpg	holder	D	6	A	B	C	D	E	F	G	H
128	data/raven/images/fused/128.jpg	holder	B	6	A	B	C	D	E	F	G	H
129	data/raven/images/fused/129.jpg	holder	C	6	A	B	C	D	E	F	G	H
130	data/raven/images/fused/130.jpg	holder	H	6	A	B	C	D	E	F	G	H
131	data/raven/images/fused/131.jpg	holder	F	6	A	B	C	D	E	F	G	H
132	data/raven/images/fused/132.jpg	holder	A	6	A	B	C	D	E	F	G	H
133	data/raven/images/fused/133.jpg	holder	E	6	A	B	C	D	E	F	G	H
134	data/raven/images/fused/134.jpg	holder	A	6	A	B	C	D	E	F	G	H
135	data/raven/images/fused/135.jpg	holder	B	6	A	B	C	D	E	F	G	H
136	data/raven/images/fused/136.jpg	holder	H	6	A	B	C	D	E	F	G	H
137	data/raven/images/fused/137.jpg	holder	F	6	A	B	C	D	E	F	G	H
138	data/raven/images/fused/138.jpg	holder	F	6	A	B	C	D	E	F	G	H
139	data/raven/images/fused/139.jpg	holder	G	6	A	B	C	D	E	F	G	H
